edges,distance,location_id,PV_NAAM,node_from,node_to,value
"(399178987, 771359539, 0)",0.0017826519547260121,PZH01_MST_0695_01,Zuid-Holland,399178987.0,771359539.0,1054.0
"(1276421508, 1276420490, 0)",0.00034343212907560043,PZH01_MST_0697_00,Zuid-Holland,1276421508.0,1276420490.0,853.6428571428571
"(1276420490, 1276421508, 0)",0.0003454026225190263,PZH01_MST_0697_01,Zuid-Holland,1276420490.0,1276421508.0,1257.7142857142858
"(4679398902, 44841258, 0)",0.04728435077319272,PZH01_MST_0822_01,Zuid-Holland,4679398902.0,44841258.0,273.0
"(44844568, 44813616, 0)",0.001185333994286544,PZH01_MST_0824_00,Zuid-Holland,44844568.0,44813616.0,1869.5714285714287
"(44813616, 44844568, 0)",0.00020870850413090688,PZH01_MST_0824_01,Zuid-Holland,44813616.0,44844568.0,2039.857142857143
"(45150175, 2757872846, 0)",4.669736167217639e-05,PZH01_MST_0828_00,Zuid-Holland,45150175.0,2757872846.0,464.5
"(45150175, 2757872846, 0)",0.0002128455303667719,PZH01_MST_0828_01,Zuid-Holland,45150175.0,2757872846.0,379.07142857142856
"(1434609313, 1434609024, 0)",1.8471783824940256,PZH01_MST_0830_00,Zuid-Holland,1434609313.0,1434609024.0,2330.8571428571427
"(1434609024, 1434609313, 0)",2.0770226035454264,PZH01_MST_0830_01,Zuid-Holland,1434609024.0,1434609313.0,735.0714285714286
"(5563078031, 45520680, 0)",0.00015958656254353392,PZH01_MST_0832_01,Zuid-Holland,5563078031.0,45520680.0,0.0
"(5546175845, 5546175825, 0)",0.0003927932918760547,PZH01_MST_0834_01,Zuid-Holland,5546175845.0,5546175825.0,0.0
"(44922505, 5408681103, 0)",3.7395746887659396e-05,PZH01_MST_0839_00,Zuid-Holland,44922505.0,5408681103.0,1895.857142857143
"(44922505, 5408681103, 0)",3.695510005540221e-05,PZH01_MST_0839_01,Zuid-Holland,44922505.0,5408681103.0,1621.857142857143
"(44781957, 44771250, 0)",0.00017791139953888502,PZH01_MST_0842_01,Zuid-Holland,44781957.0,44771250.0,2522.785714285714
"(44746783, 44756478, 0)",0.00010597675472332622,PZH01_MST_0846_00,Zuid-Holland,44746783.0,44756478.0,1300.2857142857142
"(44746783, 44756478, 0)",0.000109056309232222,PZH01_MST_0846_01,Zuid-Holland,44746783.0,44756478.0,750.0714285714286
"(1386764774, 1658016220, 0)",0.00021049526202911032,PZH01_MST_0849_00,Zuid-Holland,1386764774.0,1658016220.0,0.0
"(1386764774, 1658016220, 0)",0.0002109267026731372,PZH01_MST_0849_01,Zuid-Holland,1386764774.0,1658016220.0,0.0
"(1323867834, 4313444959, 0)",0.0004998590484257857,PZH01_MST_0853_00,Zuid-Holland,1323867834.0,4313444959.0,908.1428571428571
